ID,Prob1
0, 0.20
1, 0.30
2, 0.34
3, 0.28
4, 0.29
5, 0.32
6, 0.27
7, 0.67
8, 0.65
9, 0.20
10, 0.34
11, 0.31
12, 0.25
13, 0.35
14, 0.48
15, 0.17
16, 0.27
17, 0.04
18, 0.19
19, 0.42
20, 0.32
21, 0.24
22, 0.36
23, 0.26
24, 0.27
25, 0.43
26, 0.44
27, 0.16
28, 0.23
29, 0.67
30, 0.26
31, 0.32
32, 0.27
33, 0.38
34, 0.50
35, 0.41
36, 0.38
37, 0.32
38, 0.36
39, 0.47
40, 0.35
41, 0.09
42, 0.39
43, 0.47
44, 0.27
45, 0.35
46, 0.25
47, 0.47
48, 0.26
49, 0.17
50, 0.37
51, 0.23
52, 0.48
53, 0.22
54, 0.58
55, 0.20
56, 0.46
57, 0.23
58, 0.30
59, 0.25
60, 0.29
61, 0.42
62, 0.29
63, 0.18
64, 0.23
65, 0.26
66, 0.23
67, 0.23
68, 0.21
69, 0.29
70, 0.61
71, 0.78
72, 0.28
73, 0.23
74, 0.25
75, 0.22
76, 0.24
77, 0.19
78, 0.18
79, 0.38
80, 0.32
81, 0.26
82, 0.28
83, 0.42
84, 0.66
85, 0.35
86, 0.65
87, 0.43
88, 0.24
89, 0.47
90, 0.18
91, 0.32
92, 0.28
93, 0.38
94, 0.19
95, 0.19
96, 0.18
97, 0.20
98, 0.26
99, 0.56
100, 0.44
101, 0.46
102, 0.40
103, 0.28
104, 0.21
105, 0.26
106, 0.23
107, 0.28
108, 0.25
109, 0.37
110, 0.30
111, 0.23
112, 0.35
113, 0.36
114, 0.72
115, 0.15
116, 0.27
117, 0.51
118, 0.41
119, 0.23
120, 0.10
121, 0.36
122, 0.62
123, 0.42
124, 0.23
125, 0.35
126, 0.19
127, 0.45
128, 0.26
129, 0.22
130, 0.44
131, 0.49
132, 0.25
133, 0.19
134, 0.22
135, 0.35
136, 0.20
137, 0.10
138, 0.40
139, 0.17
140, 0.20
141, 0.34
142, 0.59
143, 0.23
144, 0.27
145, 0.33
146, 0.53
147, 0.12
148, 0.34
149, 0.16
150, 0.51
151, 0.21
152, 0.28
153, 0.15
154, 0.55
155, 0.35
156, 0.37
157, 0.37
158, 0.19
159, 0.41
160, 0.32
161, 0.27
162, 0.33
163, 0.29
164, 0.10
165, 0.13
166, 0.23
167, 0.37
168, 0.47
169, 0.18
