ID,Prob1
0, 0.36
1, 0.20
2, 0.28
3, 0.00
4, 0.08
5, 0.32
6, 0.16
7, 0.24
8, 0.60
9, 0.20
10, 0.20
11, 0.12
12, 0.52
13, 0.28
14, 0.28
15, 0.24
16, 0.16
17, 0.12
18, 0.00
19, 0.04
20, 0.08
21, 0.48
22, 0.32
23, 0.20
24, 0.04
25, 0.20
26, 0.36
27, 0.52
28, 0.96
29, 0.20
30, 0.52
31, 0.00
32, 0.16
33, 0.76
34, 0.08
35, 0.56
36, 0.12
37, 0.52
38, 0.00
39, 0.08
40, 0.08
41, 0.36
42, 0.32
43, 1.00
44, 0.08
45, 0.88
46, 0.00
47, 0.32
48, 0.08
49, 0.16
50, 0.00
51, 0.08
52, 0.00
53, 0.68
54, 0.08
55, 0.12
56, 0.04
57, 0.92
58, 0.24
59, 0.48
60, 0.56
61, 0.52
62, 0.28
63, 0.24
64, 0.08
65, 0.76
66, 0.44
67, 0.84
68, 0.08
69, 0.12
70, 0.00
71, 0.08
72, 0.16
73, 0.28
74, 0.16
75, 0.80
76, 0.12
77, 0.08
78, 0.24
79, 0.64
80, 0.96
81, 0.08
82, 0.32
83, 0.08
84, 0.20
85, 0.00
86, 0.36
87, 0.20
88, 0.52
89, 0.08
90, 0.56
91, 0.72
92, 0.28
93, 0.96
94, 0.00
95, 0.36
96, 0.40
97, 0.44
98, 0.64
99, 0.04
100, 0.08
101, 0.20
102, 0.04
103, 0.52
104, 0.48
105, 0.28
106, 0.28
107, 0.92
108, 0.08
109, 0.56
110, 0.12
111, 0.08
112, 1.00
113, 0.52
114, 0.08
115, 0.20
116, 0.80
117, 0.12
118, 0.20
119, 0.20
120, 0.96
121, 0.08
122, 0.48
123, 0.20
124, 0.44
125, 0.64
126, 0.08
127, 0.40
128, 0.00
129, 0.84
130, 0.12
131, 0.04
132, 0.12
133, 0.00
134, 0.44
135, 0.28
136, 0.24
137, 0.32
138, 0.00
139, 0.00
140, 0.20
141, 0.48
142, 0.32
143, 0.36
144, 0.32
145, 0.12
146, 0.52
147, 0.16
148, 0.44
149, 0.44
150, 0.20
151, 0.52
152, 0.44
153, 0.44
154, 0.52
155, 0.32
156, 0.48
157, 0.08
158, 0.00
159, 0.20
160, 0.20
161, 0.72
162, 0.20
163, 0.20
164, 0.32
165, 0.68
166, 0.72
167, 0.36
168, 0.04
169, 0.08
170, 0.12
171, 0.12
172, 0.28
173, 0.08
174, 0.00
175, 0.40
176, 0.16
177, 0.24
178, 0.12
179, 0.16
180, 0.20
181, 0.36
182, 0.20
183, 0.20
184, 0.24
185, 0.20
186, 0.16
187, 0.04
188, 0.72
189, 0.36
190, 0.12
191, 0.08
192, 0.08
193, 0.96
194, 0.12
195, 0.00
196, 0.08
197, 0.12
198, 0.00
199, 0.36
200, 0.00
201, 0.52
202, 0.20
203, 0.28
204, 0.08
205, 0.40
206, 0.00
207, 0.16
208, 0.20
209, 0.32
210, 0.84
211, 0.56
212, 0.00
213, 0.12
214, 0.32
215, 0.00
216, 0.68
217, 0.32
218, 0.00
219, 0.00
220, 1.00
221, 0.12
222, 0.32
223, 1.00
224, 0.20
225, 0.44
226, 0.64
227, 0.12
228, 0.24
229, 0.12
230, 0.36
231, 0.00
232, 0.20
233, 0.00
234, 0.12
235, 0.00
236, 0.12
237, 0.20
238, 0.00
239, 0.28
240, 0.04
241, 0.36
242, 0.84
243, 0.12
244, 0.08
245, 0.08
246, 0.40
247, 0.08
248, 0.72
249, 0.00
250, 0.04
251, 0.24
252, 0.84
253, 0.04
254, 0.32
255, 0.00
256, 0.36
257, 0.52
258, 0.04
259, 0.60
260, 0.04
261, 0.56
262, 0.32
263, 0.04
264, 0.12
265, 0.36
266, 0.00
267, 0.16
268, 0.04
269, 0.36
270, 0.32
271, 0.48
272, 0.04
273, 0.00
274, 0.24
275, 0.20
276, 0.64
277, 0.60
278, 0.04
279, 0.12
280, 0.04
281, 0.88
282, 0.20
283, 0.32
284, 0.20
285, 0.04
286, 0.24
287, 0.00
288, 0.00
289, 0.08
290, 0.64
291, 0.28
292, 0.00
293, 0.52
294, 0.00
295, 0.36
296, 0.00
297, 0.28
298, 0.12
299, 0.24
300, 0.20
301, 0.64
302, 0.12
303, 0.00
304, 0.48
305, 0.08
306, 0.24
307, 1.00
308, 0.20
309, 0.20
310, 0.12
311, 0.52
312, 0.20
313, 0.08
314, 0.16
315, 0.84
316, 0.96
317, 0.68
318, 0.40
319, 0.44
320, 0.12
321, 0.12
322, 0.36
323, 0.00
324, 0.00
325, 0.12
326, 0.48
327, 0.36
328, 0.00
329, 0.04
330, 0.12
331, 0.04
332, 0.04
333, 0.00
334, 0.40
335, 0.20
336, 0.12
337, 0.04
338, 0.16
339, 0.32
340, 0.00
341, 0.40
342, 0.80
343, 0.48
344, 0.32
345, 0.16
346, 0.32
347, 0.12
348, 0.12
349, 0.00
350, 0.00
351, 0.08
352, 0.04
353, 0.08
354, 0.08
355, 0.08
356, 0.20
357, 0.56
358, 0.00
359, 0.48
360, 0.24
361, 0.16
362, 0.64
363, 0.16
364, 0.32
365, 0.44
366, 0.24
367, 0.00
368, 0.16
369, 0.08
370, 0.04
371, 0.08
372, 0.36
373, 0.20
374, 0.20
375, 0.24
376, 0.28
377, 0.52
378, 0.08
379, 0.00
380, 0.16
381, 0.36
382, 0.24
383, 0.56
384, 0.20
385, 0.16
386, 0.52
387, 0.20
388, 0.00
389, 0.12
390, 0.04
391, 0.44
392, 0.92
393, 0.12
394, 0.80
395, 0.12
396, 0.56
397, 0.20
398, 0.00
399, 0.08
400, 0.28
401, 0.00
402, 0.84
403, 0.28
404, 0.32
405, 0.24
406, 0.88
407, 0.08
408, 0.36
409, 0.24
410, 0.64
411, 0.72
412, 0.04
413, 0.60
414, 0.08
415, 0.44
416, 0.36
417, 0.08
418, 0.36
419, 0.12
420, 0.08
421, 0.04
422, 0.00
423, 0.08
424, 0.20
425, 0.12
426, 0.36
427, 0.00
428, 0.48
429, 0.16
430, 0.08
431, 0.44
432, 0.36
433, 0.40
434, 0.04
435, 0.12
436, 0.04
437, 0.20
438, 0.28
439, 0.12
440, 0.84
441, 0.24
442, 0.88
443, 0.16
444, 0.16
445, 0.20
446, 0.88
447, 0.24
448, 0.80
449, 0.32
450, 0.08
451, 0.44
452, 0.44
453, 0.88
454, 0.40
455, 0.04
456, 0.08
457, 0.48
458, 0.28
459, 0.04
460, 0.40
461, 0.12
462, 0.28
463, 0.08
464, 0.36
465, 0.72
466, 0.12
467, 0.12
468, 0.68
469, 0.12
470, 0.32
471, 0.84
472, 0.00
473, 0.44
474, 0.44
475, 0.80
476, 0.24
477, 0.48
478, 0.16
479, 0.88
480, 0.44
481, 0.60
482, 0.12
483, 0.56
484, 0.48
485, 0.44
486, 0.20
487, 0.72
488, 0.16
489, 0.24
490, 0.56
491, 0.40
492, 0.80
493, 0.24
494, 0.04
495, 0.20
496, 0.68
497, 0.56
498, 0.40
499, 0.12
500, 0.76
501, 0.04
502, 0.64
503, 0.00
504, 0.04
505, 0.48
506, 0.04
507, 0.00
508, 0.28
509, 0.56
510, 0.16
511, 0.00
512, 0.48
513, 0.00
514, 0.08
515, 0.00
516, 0.40
517, 0.12
518, 0.12
519, 0.04
520, 0.12
521, 0.60
522, 0.12
523, 0.12
524, 0.28
525, 0.28
526, 0.24
527, 0.00
528, 0.44
529, 0.00
530, 0.00
531, 0.08
532, 0.36
533, 0.28
534, 0.16
535, 0.16
536, 0.28
537, 0.40
538, 0.12
539, 0.00
540, 0.88
541, 0.16
542, 0.16
543, 0.12
544, 0.00
545, 0.48
546, 0.08
547, 0.08
548, 0.40
549, 0.44
550, 0.84
551, 0.04
552, 0.00
553, 0.04
554, 0.20
555, 0.36
556, 0.92
557, 0.64
558, 0.36
559, 0.32
560, 0.00
561, 0.32
562, 0.12
563, 0.00
564, 0.40
565, 0.04
566, 0.12
567, 0.12
568, 0.36
569, 0.08
570, 0.04
571, 0.12
572, 0.44
573, 0.00
574, 0.32
575, 0.16
576, 0.36
577, 0.08
578, 0.76
579, 0.24
580, 0.00
581, 0.56
582, 0.28
583, 0.84
584, 0.36
585, 0.08
586, 0.40
587, 0.00
588, 0.48
589, 0.20
590, 0.00
591, 0.12
592, 0.00
593, 0.88
594, 0.20
595, 0.12
596, 0.56
597, 0.48
598, 0.48
599, 1.00
600, 0.24
601, 0.40
602, 0.56
603, 0.28
604, 0.32
605, 0.24
606, 0.08
607, 0.44
608, 0.56
609, 0.08
610, 0.12
611, 0.08
612, 0.08
613, 0.04
614, 0.04
615, 0.24
616, 0.12
617, 0.16
618, 0.04
619, 0.56
620, 0.08
621, 0.28
622, 0.20
623, 0.16
624, 0.12
625, 0.44
626, 0.32
627, 0.04
628, 0.04
629, 0.84
630, 0.68
631, 0.48
632, 0.92
633, 0.32
634, 0.08
635, 0.20
636, 0.00
637, 0.52
638, 0.08
639, 0.92
640, 0.12
641, 0.44
642, 0.04
643, 0.24
644, 0.96
645, 0.00
646, 0.84
647, 0.52
648, 0.04
649, 0.68
650, 0.20
651, 0.32
652, 0.52
653, 0.72
654, 0.16
655, 0.28
656, 1.00
657, 0.60
658, 0.04
659, 0.32
660, 0.48
661, 0.00
662, 0.60
663, 0.04
664, 0.28
665, 0.96
666, 0.00
667, 0.20
668, 0.00
669, 0.32
670, 0.60
671, 0.48
672, 0.20
673, 0.44
674, 0.44
675, 0.40
676, 0.16
677, 0.16
678, 0.00
679, 0.04
680, 0.16
681, 0.20
682, 0.32
683, 0.00
684, 0.28
685, 0.24
686, 0.04
687, 0.08
688, 0.24
689, 0.12
690, 0.04
691, 0.48
692, 0.88
693, 0.20
694, 0.76
695, 0.00
696, 0.24
697, 0.56
698, 0.32
699, 0.92
700, 0.04
701, 0.20
702, 0.00
703, 0.00
704, 0.04
705, 0.00
706, 0.00
707, 0.20
708, 0.08
709, 0.36
710, 0.08
711, 0.08
712, 0.00
713, 0.04
714, 0.36
715, 0.24
716, 0.56
717, 0.36
718, 0.08
719, 0.08
720, 0.12
721, 0.08
722, 0.76
723, 0.04
724, 0.28
725, 0.48
726, 0.56
727, 0.00
728, 0.08
729, 0.32
730, 0.04
731, 0.20
732, 0.84
733, 0.20
734, 0.20
735, 0.00
736, 0.04
737, 0.12
738, 0.00
739, 0.20
740, 0.56
741, 0.20
742, 0.68
743, 0.12
744, 0.20
745, 0.04
746, 0.24
747, 0.12
748, 0.12
749, 0.88
750, 0.40
751, 0.44
752, 0.24
753, 0.32
754, 0.24
755, 0.08
756, 0.36
757, 0.20
758, 0.16
759, 0.00
760, 0.32
761, 0.24
762, 0.72
763, 0.20
764, 0.12
765, 0.32
766, 0.76
767, 0.48
768, 0.36
769, 0.04
770, 0.04
771, 0.00
772, 0.04
773, 0.60
774, 0.20
775, 0.20
776, 0.00
777, 0.04
778, 0.56
779, 0.00
780, 0.56
781, 0.20
782, 0.48
783, 0.00
784, 0.32
785, 0.24
786, 0.24
787, 0.16
788, 0.28
789, 0.28
790, 0.24
791, 0.24
792, 0.32
793, 0.24
794, 0.68
795, 0.08
796, 0.08
797, 0.20
798, 0.00
799, 0.00
800, 0.68
801, 0.16
802, 0.08
803, 0.04
804, 0.64
805, 0.12
806, 0.00
807, 0.76
808, 0.84
809, 0.32
810, 0.44
811, 0.36
812, 0.00
813, 0.04
814, 0.12
815, 0.00
816, 0.24
817, 0.56
818, 0.04
819, 0.12
820, 0.08
821, 0.04
822, 0.40
823, 0.40
824, 0.20
825, 0.32
826, 0.16
827, 0.40
828, 0.64
829, 0.40
830, 0.12
831, 0.48
832, 0.04
833, 0.12
834, 0.12
835, 0.96
836, 0.08
837, 0.32
838, 0.20
839, 0.20
840, 0.76
841, 0.40
842, 0.04
843, 0.48
844, 0.36
845, 0.16
846, 0.44
847, 0.00
848, 0.40
849, 0.32
850, 0.00
851, 0.24
852, 0.08
853, 0.00
854, 0.20
855, 0.24
856, 0.08
857, 0.64
858, 0.32
859, 0.24
860, 0.04
861, 0.40
862, 0.04
863, 0.20
864, 0.08
865, 0.36
866, 0.00
867, 0.16
868, 0.00
869, 0.40
870, 0.00
871, 0.16
872, 0.12
873, 0.64
874, 0.00
875, 0.36
876, 0.16
877, 0.12
878, 0.04
879, 0.04
880, 0.12
881, 0.16
882, 0.00
883, 0.00
884, 0.88
885, 0.00
886, 0.68
887, 0.36
888, 0.76
889, 0.00
890, 0.28
891, 0.00
892, 0.12
893, 0.24
894, 0.32
895, 0.56
896, 0.00
897, 0.28
898, 0.28
899, 0.36
900, 0.16
901, 0.16
902, 0.16
903, 0.52
904, 0.64
905, 0.48
906, 0.00
907, 0.00
908, 0.76
909, 0.76
910, 0.56
911, 0.92
912, 0.24
913, 0.16
914, 0.00
915, 0.00
916, 0.36
917, 0.20
918, 0.76
919, 0.16
920, 0.32
921, 0.04
922, 0.80
923, 0.88
924, 0.08
925, 0.36
926, 0.20
927, 0.24
928, 0.76
929, 0.24
930, 0.56
931, 0.00
932, 0.32
933, 0.36
934, 0.04
935, 0.24
936, 0.16
937, 0.00
938, 0.20
939, 0.08
940, 0.20
941, 0.12
942, 0.08
943, 0.12
944, 0.16
945, 0.00
946, 0.60
947, 0.52
948, 0.08
949, 0.32
950, 0.44
951, 0.56
952, 0.36
953, 0.12
954, 0.84
955, 0.00
956, 0.12
957, 0.00
958, 0.88
959, 0.16
960, 0.32
961, 0.24
962, 0.00
963, 0.20
964, 0.40
965, 0.04
966, 0.04
967, 0.36
968, 0.04
969, 0.28
970, 0.52
971, 0.24
972, 0.24
973, 0.64
974, 0.44
975, 0.68
976, 0.40
977, 0.12
978, 0.00
979, 0.64
980, 0.28
981, 0.00
982, 0.04
983, 0.20
984, 0.04
985, 0.28
986, 0.04
987, 0.00
988, 0.16
989, 0.84
990, 0.12
991, 0.20
992, 0.32
993, 0.16
994, 1.00
995, 0.68
996, 0.08
997, 0.64
998, 0.56
999, 0.36
1000, 0.20
1001, 0.92
1002, 0.24
1003, 0.52
1004, 0.60
1005, 0.16
1006, 0.24
1007, 0.12
1008, 0.08
1009, 0.32
1010, 0.00
1011, 0.88
1012, 0.20
1013, 0.04
1014, 0.04
1015, 0.08
1016, 0.04
1017, 0.40
1018, 0.32
1019, 0.16
1020, 0.16
1021, 0.12
1022, 0.96
1023, 0.08
1024, 0.00
1025, 0.12
1026, 0.36
1027, 0.20
1028, 0.12
1029, 0.00
1030, 0.84
1031, 0.04
1032, 0.64
1033, 0.12
1034, 0.16
1035, 0.16
1036, 0.48
1037, 0.04
1038, 0.60
1039, 0.08
1040, 0.20
1041, 0.20
1042, 0.00
1043, 0.48
1044, 0.00
1045, 0.08
1046, 0.52
1047, 0.28
1048, 0.36
1049, 0.16
1050, 0.04
1051, 0.04
1052, 0.28
1053, 0.12
1054, 0.60
1055, 0.12
1056, 0.24
1057, 0.20
1058, 0.32
1059, 0.56
1060, 0.72
1061, 0.20
1062, 0.36
1063, 0.08
1064, 0.00
1065, 0.12
1066, 0.52
1067, 0.36
1068, 0.36
1069, 0.44
1070, 0.44
1071, 0.48
1072, 0.12
1073, 0.44
1074, 0.08
1075, 0.36
1076, 0.08
1077, 0.08
1078, 0.28
1079, 0.40
1080, 0.00
1081, 0.52
1082, 0.00
1083, 0.52
1084, 0.44
1085, 0.28
1086, 0.04
1087, 0.20
1088, 0.28
1089, 0.40
1090, 0.04
1091, 0.00
1092, 0.44
1093, 0.28
1094, 0.08
1095, 0.20
1096, 0.40
1097, 0.24
1098, 0.56
1099, 0.08
1100, 0.64
1101, 0.76
1102, 0.24
1103, 0.60
1104, 0.12
1105, 0.12
1106, 0.92
1107, 0.36
1108, 0.16
1109, 0.28
1110, 0.28
1111, 0.00
1112, 0.00
1113, 0.28
1114, 0.96
1115, 0.04
1116, 0.00
1117, 0.60
1118, 0.68
1119, 0.44
1120, 0.40
1121, 0.12
1122, 0.40
1123, 0.92
1124, 0.04
1125, 0.08
1126, 0.24
1127, 0.20
1128, 0.12
1129, 0.96
1130, 0.32
1131, 0.44
1132, 0.24
1133, 0.12
1134, 0.00
1135, 0.24
1136, 0.40
1137, 0.52
1138, 0.00
1139, 0.44
1140, 0.16
1141, 0.44
1142, 0.04
1143, 0.28
1144, 0.48
1145, 0.08
1146, 0.36
1147, 0.08
1148, 0.04
1149, 0.20
1150, 0.20
1151, 0.28
1152, 0.12
1153, 0.24
1154, 0.08
1155, 0.28
1156, 0.04
1157, 0.24
1158, 0.04
1159, 0.76
1160, 0.12
1161, 0.00
1162, 0.00
1163, 0.00
1164, 0.68
1165, 0.28
1166, 0.20
1167, 0.40
1168, 0.20
1169, 0.72
1170, 0.28
1171, 0.28
1172, 0.08
1173, 0.16
1174, 0.72
1175, 0.16
1176, 0.80
1177, 0.40
1178, 0.40
1179, 0.00
1180, 0.04
1181, 0.16
1182, 0.16
1183, 0.96
1184, 0.12
1185, 0.12
1186, 0.04
1187, 0.00
1188, 0.52
1189, 0.92
1190, 0.04
1191, 0.08
1192, 0.32
1193, 0.48
1194, 0.16
1195, 0.68
1196, 0.20
1197, 0.48
1198, 0.32
1199, 0.28
1200, 0.20
1201, 0.32
1202, 0.32
1203, 0.04
1204, 0.20
1205, 0.08
1206, 0.44
1207, 0.48
1208, 0.44
1209, 0.24
1210, 0.00
1211, 0.64
1212, 0.08
1213, 0.56
1214, 0.08
1215, 0.44
1216, 0.96
1217, 0.12
1218, 0.28
1219, 0.56
1220, 0.44
1221, 0.44
1222, 0.08
1223, 0.16
1224, 0.12
1225, 0.04
1226, 0.36
1227, 0.20
1228, 0.44
1229, 0.08
1230, 0.04
1231, 0.00
1232, 0.08
1233, 0.12
1234, 0.04
1235, 0.00
1236, 0.44
1237, 0.72
1238, 0.12
1239, 0.04
1240, 0.64
1241, 0.28
1242, 0.44
1243, 0.24
1244, 0.96
1245, 0.84
1246, 0.80
1247, 0.32
1248, 0.08
1249, 0.04
1250, 0.40
1251, 0.40
1252, 0.08
1253, 0.36
1254, 0.48
1255, 0.24
1256, 0.28
