ID,Prob1
0, 0.28
1, 0.26
2, 0.33
3, 0.15
4, 0.23
5, 0.24
6, 0.24
7, 0.82
8, 0.74
9, 0.18
10, 0.40
11, 0.29
12, 0.48
13, 0.61
14, 0.41
15, 0.17
16, 0.27
17, 0.14
18, 0.15
19, 0.47
20, 0.26
21, 0.13
22, 0.48
23, 0.38
24, 0.25
25, 0.34
26, 0.44
27, 0.14
28, 0.21
29, 0.80
30, 0.17
31, 0.21
32, 0.20
33, 0.20
34, 0.41
35, 0.42
36, 0.28
37, 0.63
38, 0.53
39, 0.40
40, 0.44
41, 0.10
42, 0.25
43, 0.48
44, 0.53
45, 0.30
46, 0.30
47, 0.68
48, 0.26
49, 0.38
50, 0.46
51, 0.19
52, 0.38
53, 0.26
54, 0.63
55, 0.13
56, 0.66
57, 0.19
58, 0.28
59, 0.14
60, 0.41
61, 0.55
62, 0.31
63, 0.15
64, 0.24
65, 0.17
66, 0.68
67, 0.21
68, 0.26
69, 0.31
70, 0.81
71, 0.92
72, 0.30
73, 0.29
74, 0.14
75, 0.29
76, 0.14
77, 0.41
78, 0.12
79, 0.28
80, 0.29
81, 0.19
82, 0.17
83, 0.24
84, 0.31
85, 0.19
86, 0.65
87, 0.25
88, 0.16
89, 0.58
90, 0.15
91, 0.24
92, 0.20
93, 0.46
94, 0.18
95, 0.23
96, 0.48
97, 0.12
98, 0.14
99, 0.58
100, 0.23
101, 0.45
102, 0.36
103, 0.23
104, 0.28
105, 0.19
106, 0.29
107, 0.33
108, 0.22
109, 0.33
110, 0.39
111, 0.23
112, 0.17
113, 0.39
114, 0.31
115, 0.11
116, 0.17
117, 0.38
118, 0.21
119, 0.24
120, 0.18
121, 0.32
122, 0.75
123, 0.60
124, 0.26
125, 0.43
126, 0.51
127, 0.32
128, 0.22
129, 0.13
130, 0.50
131, 0.51
132, 0.16
133, 0.43
134, 0.16
135, 0.48
136, 0.13
137, 0.10
138, 0.28
139, 0.14
140, 0.13
141, 0.24
142, 0.54
143, 0.19
144, 0.22
145, 0.25
146, 0.37
147, 0.18
148, 0.15
149, 0.53
150, 0.65
151, 0.15
152, 0.64
153, 0.30
154, 0.84
155, 0.22
156, 0.38
157, 0.25
158, 0.12
159, 0.34
160, 0.21
161, 0.19
162, 0.29
163, 0.18
164, 0.15
165, 0.38
166, 0.19
167, 0.29
168, 0.20
169, 0.12
170, 0.14
171, 0.37
172, 0.15
173, 0.59
174, 0.30
175, 0.29
176, 0.19
177, 0.25
178, 0.70
179, 0.12
180, 0.65
181, 0.76
182, 0.19
183, 0.19
184, 0.56
185, 0.16
186, 0.64
187, 0.77
188, 0.27
189, 0.15
190, 0.85
191, 0.22
192, 0.29
193, 0.18
194, 0.21
195, 0.27
196, 0.19
197, 0.22
198, 0.25
199, 0.18
200, 0.12
201, 0.15
202, 0.88
203, 0.13
204, 0.24
205, 0.16
206, 0.20
207, 0.24
208, 0.36
209, 0.78
210, 0.23
211, 0.41
212, 0.53
213, 0.53
214, 0.46
215, 0.17
216, 0.53
217, 0.14
218, 0.17
219, 0.30
220, 0.32
221, 0.29
222, 0.24
223, 0.45
224, 0.33
225, 0.25
226, 0.25
227, 0.29
228, 0.58
229, 0.14
230, 0.29
231, 0.72
232, 0.48
233, 0.32
234, 0.13
235, 0.47
236, 0.17
237, 0.26
238, 0.56
239, 0.41
240, 0.36
241, 0.14
242, 0.18
243, 0.11
244, 0.27
245, 0.23
246, 0.20
247, 0.74
248, 0.45
249, 0.29
250, 0.80
251, 0.26
252, 0.12
253, 0.12
254, 0.16
255, 0.14
256, 0.35
257, 0.14
258, 0.79
259, 0.14
260, 0.72
261, 0.48
262, 0.18
263, 0.11
264, 0.19
265, 0.25
266, 0.21
267, 0.35
268, 0.24
269, 0.44
270, 0.14
271, 0.12
272, 0.18
273, 0.30
274, 0.63
275, 0.25
276, 0.72
277, 0.90
278, 0.31
279, 0.16
280, 0.75
281, 0.15
282, 0.23
283, 0.41
284, 0.24
285, 0.45
286, 0.54
287, 0.36
288, 0.18
289, 0.20
290, 0.17
291, 0.28
292, 0.18
293, 0.50
294, 0.21
295, 0.18
296, 0.33
297, 0.16
298, 0.37
299, 0.84
