ID,Prob1
0, 0.08
1, 0.24
2, 0.20
3, 0.08
4, 0.16
5, 0.20
6, 0.16
7, 0.64
8, 0.48
9, 0.12
10, 0.28
11, 0.24
12, 0.28
13, 0.32
14, 0.48
15, 0.08
16, 0.24
17, 0.12
18, 0.12
19, 0.20
20, 0.12
21, 0.04
22, 0.16
23, 0.24
24, 0.12
25, 0.60
26, 0.08
27, 0.00
28, 0.20
29, 0.72
30, 0.12
31, 0.12
32, 0.04
33, 0.44
34, 0.80
35, 0.36
36, 0.20
37, 0.60
38, 0.28
39, 0.24
40, 0.12
41, 0.04
42, 0.24
43, 0.44
44, 0.24
45, 0.36
46, 0.12
47, 0.56
48, 0.24
49, 0.40
50, 0.28
51, 0.32
52, 0.36
53, 0.32
54, 0.52
55, 0.08
56, 0.60
57, 0.16
58, 0.44
59, 0.28
60, 0.44
61, 0.60
62, 0.08
63, 0.36
64, 0.64
65, 0.20
66, 0.48
67, 0.08
68, 0.08
69, 0.16
70, 0.68
71, 0.48
72, 0.44
73, 0.04
74, 0.24
75, 0.20
76, 0.00
77, 0.44
78, 0.04
79, 0.28
80, 0.04
81, 0.40
82, 0.20
83, 0.36
84, 0.72
85, 0.28
86, 0.44
87, 0.24
88, 0.20
89, 0.28
90, 0.16
91, 0.48
92, 0.12
93, 0.80
94, 0.12
95, 0.04
96, 0.16
97, 0.16
98, 0.04
99, 0.68
100, 0.52
101, 0.76
102, 0.12
103, 0.20
104, 0.20
105, 0.08
106, 0.08
107, 0.20
108, 0.04
109, 0.24
110, 0.40
111, 0.16
112, 0.08
113, 0.04
114, 0.68
115, 0.04
116, 0.16
117, 0.64
118, 0.16
119, 0.08
120, 0.28
121, 0.24
122, 0.60
123, 0.24
124, 0.08
125, 0.56
126, 0.08
127, 0.56
128, 0.40
129, 0.16
130, 0.64
131, 0.44
132, 0.12
133, 0.32
134, 0.32
135, 0.24
136, 0.24
137, 0.16
138, 0.52
139, 0.20
140, 0.00
141, 0.16
142, 0.56
143, 0.08
144, 0.08
145, 0.32
146, 0.56
147, 0.12
148, 0.16
149, 0.28
150, 0.24
151, 0.28
152, 0.00
153, 0.08
154, 0.56
155, 0.20
156, 0.52
157, 0.32
158, 0.00
159, 0.28
160, 0.20
161, 0.08
162, 0.44
163, 0.12
164, 0.24
165, 0.00
166, 0.48
167, 0.52
168, 0.20
169, 0.16
170, 0.08
171, 0.28
172, 0.12
173, 0.72
174, 0.32
175, 0.20
176, 0.32
177, 0.28
178, 0.28
179, 0.04
180, 0.36
181, 0.52
182, 0.20
183, 0.08
184, 0.56
185, 0.24
186, 0.64
187, 0.52
188, 0.28
189, 0.04
190, 0.88
191, 0.24
192, 0.92
193, 0.32
194, 0.28
195, 0.36
196, 0.20
197, 0.24
198, 0.16
199, 0.12
200, 0.00
201, 0.08
202, 0.72
203, 0.20
204, 0.52
205, 0.20
206, 0.20
207, 0.36
208, 0.24
209, 0.12
210, 0.40
211, 0.72
212, 0.04
213, 0.40
214, 0.40
215, 0.20
216, 0.08
217, 0.00
218, 0.08
219, 0.32
220, 0.12
221, 0.40
222, 0.28
223, 0.68
224, 0.40
225, 0.20
226, 0.56
227, 0.24
228, 0.08
229, 0.04
230, 0.32
231, 0.60
232, 0.20
233, 0.52
234, 0.20
235, 0.32
236, 0.60
237, 0.28
238, 0.64
239, 0.56
240, 0.20
241, 0.28
242, 0.12
243, 0.48
244, 0.36
245, 0.40
246, 0.00
247, 0.88
248, 0.44
249, 0.04
250, 0.44
251, 0.12
252, 0.04
253, 0.08
254, 0.24
255, 0.32
256, 0.04
257, 0.12
258, 0.80
259, 0.28
260, 0.24
261, 0.68
262, 0.32
263, 0.04
264, 0.24
265, 0.24
266, 0.28
267, 0.08
268, 0.16
269, 0.52
270, 0.08
271, 0.20
272, 0.04
273, 0.32
274, 0.48
275, 0.32
276, 0.76
277, 0.96
278, 0.12
279, 0.20
280, 0.44
281, 0.16
282, 0.00
283, 0.16
284, 0.00
285, 0.68
286, 0.48
287, 0.56
288, 0.12
289, 0.12
290, 0.16
291, 0.56
292, 0.12
293, 0.32
294, 0.16
295, 0.04
296, 0.60
297, 0.12
298, 0.16
299, 0.80
300, 0.20
301, 0.60
302, 0.28
303, 0.48
304, 0.04
305, 0.08
306, 0.28
307, 0.12
308, 0.12
309, 0.68
310, 0.12
311, 0.20
312, 0.32
313, 0.28
314, 0.76
315, 0.20
316, 0.16
317, 0.32
318, 0.08
319, 0.36
320, 0.32
321, 0.52
322, 0.12
323, 0.12
324, 0.04
325, 0.12
326, 0.24
327, 0.00
328, 0.40
329, 0.04
330, 0.20
331, 0.52
332, 0.16
333, 0.12
334, 0.04
335, 0.16
336, 0.32
337, 0.92
338, 0.40
339, 0.28
340, 0.52
341, 0.08
342, 0.24
343, 0.08
344, 0.16
345, 0.52
346, 0.60
347, 0.00
348, 0.16
349, 0.60
350, 0.08
351, 0.24
352, 0.20
353, 0.52
354, 0.32
355, 0.08
356, 0.16
357, 0.48
358, 0.12
359, 0.00
360, 0.20
361, 0.08
362, 0.08
363, 0.52
364, 0.16
365, 0.88
366, 0.28
367, 0.80
368, 0.24
369, 0.28
370, 0.12
371, 0.20
372, 0.32
373, 0.20
374, 0.16
375, 0.36
376, 0.24
377, 0.04
378, 0.68
379, 0.00
380, 0.48
381, 0.20
382, 0.32
383, 0.64
384, 0.24
385, 0.40
386, 0.56
387, 0.24
388, 0.24
389, 0.36
390, 0.00
391, 0.24
392, 0.60
393, 0.12
394, 0.16
395, 0.04
396, 0.04
397, 0.08
398, 0.24
399, 0.80
400, 0.32
401, 0.20
402, 0.00
403, 0.28
404, 0.04
405, 0.08
406, 0.64
407, 0.36
408, 0.20
409, 0.40
410, 0.12
411, 0.24
412, 0.36
413, 0.24
414, 0.24
415, 0.36
416, 0.32
417, 0.16
418, 0.12
419, 0.28
420, 0.24
421, 0.32
422, 0.32
423, 0.04
424, 0.16
425, 0.36
426, 0.16
427, 0.32
428, 0.00
429, 0.40
430, 0.20
431, 0.56
432, 0.00
433, 0.08
434, 0.36
435, 0.16
436, 0.32
437, 0.36
438, 0.28
439, 0.00
440, 0.12
441, 0.16
442, 0.52
443, 0.12
444, 0.12
445, 0.04
446, 0.44
447, 0.08
448, 0.68
449, 0.28
450, 0.36
451, 0.52
452, 0.16
453, 0.64
454, 0.60
455, 0.12
456, 0.68
457, 0.60
458, 0.44
459, 0.12
460, 0.96
461, 0.12
462, 0.12
463, 0.48
464, 0.16
465, 0.16
466, 0.24
467, 0.52
468, 0.16
469, 0.40
470, 0.48
471, 0.36
472, 0.20
473, 0.48
474, 0.36
475, 0.44
476, 0.12
477, 0.36
478, 0.12
479, 0.08
480, 0.04
481, 0.28
482, 0.32
483, 0.20
484, 0.08
485, 0.88
486, 0.68
487, 0.52
488, 0.08
489, 0.08
490, 0.16
491, 0.12
492, 0.28
493, 0.12
494, 0.76
495, 0.48
496, 0.72
497, 0.60
498, 0.68
499, 0.48
500, 0.36
501, 0.36
502, 0.28
503, 0.28
504, 0.44
505, 0.00
506, 0.28
507, 0.12
508, 0.36
509, 0.24
510, 0.52
511, 0.12
512, 0.40
513, 0.04
514, 0.24
515, 0.60
516, 0.16
517, 0.20
518, 0.40
519, 0.76
520, 0.52
521, 0.24
522, 0.24
523, 0.40
524, 0.04
525, 0.68
526, 0.44
527, 0.68
528, 0.52
529, 0.16
530, 0.08
531, 0.16
532, 0.16
533, 0.16
534, 0.64
535, 0.20
536, 0.52
537, 0.16
538, 0.04
539, 0.76
540, 0.08
541, 0.40
542, 0.80
543, 0.76
544, 0.04
545, 0.64
546, 0.28
547, 0.12
548, 0.24
549, 0.20
550, 0.64
551, 0.24
552, 0.40
553, 0.08
554, 0.48
555, 0.00
556, 0.12
557, 0.20
558, 0.12
559, 0.08
560, 0.48
561, 0.00
562, 0.00
563, 0.16
564, 0.08
565, 0.24
566, 0.24
567, 0.44
568, 0.24
569, 0.20
570, 0.32
571, 0.20
572, 0.00
573, 0.56
574, 0.24
575, 0.28
576, 0.04
577, 0.36
578, 0.08
579, 0.40
580, 0.68
581, 0.24
582, 0.44
583, 0.16
584, 0.24
585, 0.12
586, 0.52
587, 0.72
588, 0.20
589, 0.56
590, 0.08
591, 0.12
592, 0.84
593, 0.12
594, 0.08
595, 0.28
596, 0.20
597, 0.24
598, 0.08
599, 0.24
600, 0.28
601, 0.08
602, 0.12
603, 0.64
604, 0.48
605, 0.20
606, 0.84
607, 0.00
608, 0.32
609, 0.60
610, 0.16
611, 0.84
612, 0.64
613, 0.28
614, 0.28
615, 0.04
616, 0.40
617, 0.12
618, 0.24
619, 0.12
620, 0.28
621, 0.40
622, 0.32
623, 0.24
624, 0.40
625, 0.40
626, 0.24
627, 0.12
628, 0.64
629, 0.28
630, 0.20
631, 0.24
632, 0.32
633, 0.32
634, 0.24
635, 0.88
636, 0.32
637, 0.16
638, 0.28
639, 0.20
640, 0.00
641, 0.64
642, 0.36
643, 0.32
644, 0.44
645, 0.64
646, 0.24
647, 0.04
648, 0.24
649, 0.12
650, 0.76
651, 0.12
652, 0.36
653, 0.24
654, 0.08
655, 0.32
656, 0.32
657, 0.48
658, 0.52
659, 0.36
660, 0.88
661, 0.28
662, 0.28
663, 0.04
664, 0.88
665, 0.04
666, 0.12
667, 0.12
668, 0.80
669, 0.20
670, 0.08
671, 0.32
672, 0.20
673, 0.12
674, 0.12
675, 0.04
676, 0.72
677, 0.20
678, 0.08
679, 0.24
680, 0.76
681, 0.32
682, 0.04
683, 0.36
684, 0.16
685, 0.12
686, 0.04
687, 0.28
688, 0.00
689, 0.20
690, 0.36
691, 0.32
692, 0.72
693, 0.32
694, 0.48
695, 0.40
696, 0.12
697, 0.12
698, 0.04
699, 0.16
700, 0.24
701, 0.40
702, 0.40
703, 0.40
704, 0.84
705, 0.84
706, 0.20
707, 0.04
708, 0.16
709, 0.20
710, 0.76
711, 0.96
712, 0.08
713, 0.16
714, 0.24
715, 0.08
716, 0.60
717, 0.08
718, 0.32
719, 0.12
720, 0.16
721, 0.56
722, 0.28
723, 0.12
724, 0.36
725, 0.24
726, 0.24
727, 0.76
728, 0.24
729, 0.88
730, 0.04
731, 0.20
732, 0.44
733, 0.16
734, 0.16
735, 0.12
736, 0.28
737, 0.28
738, 0.40
739, 0.08
740, 0.56
741, 0.92
742, 0.24
743, 0.16
744, 0.56
745, 0.60
746, 0.72
747, 0.76
748, 0.16
749, 0.24
750, 0.20
751, 0.20
752, 0.12
753, 0.00
754, 0.24
755, 0.84
756, 0.36
757, 0.20
758, 0.04
759, 0.60
760, 0.20
761, 0.28
762, 0.20
763, 0.04
764, 0.16
765, 0.24
766, 0.04
767, 0.16
768, 0.24
769, 0.68
770, 0.48
771, 0.08
772, 0.32
773, 0.08
774, 0.16
775, 0.04
776, 0.12
777, 0.24
778, 0.24
779, 0.32
780, 0.88
781, 0.16
782, 0.12
783, 0.56
784, 0.60
785, 0.36
786, 0.12
787, 0.20
788, 0.92
789, 0.04
790, 0.48
791, 0.40
792, 0.36
793, 0.40
794, 0.60
795, 0.32
796, 0.28
797, 0.80
798, 0.68
799, 0.28
800, 0.08
801, 0.20
802, 0.08
803, 0.48
804, 0.24
805, 0.84
806, 0.28
807, 0.28
808, 0.12
809, 0.52
810, 0.52
811, 0.80
812, 0.24
813, 0.36
814, 0.36
815, 0.00
816, 0.44
817, 0.96
818, 0.28
819, 0.20
820, 0.08
821, 0.36
822, 0.20
823, 0.08
824, 0.08
825, 0.32
826, 0.68
827, 0.12
828, 0.20
829, 0.72
830, 0.28
831, 0.40
832, 0.40
833, 0.56
834, 0.44
835, 0.80
836, 0.48
837, 0.04
838, 0.44
839, 0.12
840, 0.52
841, 0.00
842, 0.08
843, 0.16
844, 0.36
845, 0.40
846, 0.20
847, 0.40
848, 0.36
849, 0.68
850, 0.28
851, 0.48
852, 0.24
853, 0.92
854, 0.00
855, 0.40
856, 0.68
857, 0.92
858, 0.24
859, 0.24
860, 0.00
861, 0.48
862, 0.16
863, 0.12
864, 0.56
865, 0.32
866, 0.28
867, 0.48
868, 0.76
869, 0.12
870, 0.48
871, 0.24
872, 0.08
873, 0.16
874, 0.24
875, 0.64
876, 0.36
877, 0.36
878, 0.20
879, 0.20
880, 0.08
881, 0.12
882, 0.28
883, 0.32
884, 0.28
885, 0.12
886, 0.16
887, 0.20
888, 0.52
889, 0.76
890, 0.76
