ID,Prob1
0, 0.18
1, 0.30
2, 0.33
3, 0.27
4, 0.29
5, 0.32
6, 0.27
7, 0.68
8, 0.63
9, 0.21
10, 0.33
11, 0.30
12, 0.24
13, 0.35
14, 0.48
15, 0.17
16, 0.27
17, 0.05
18, 0.18
19, 0.42
20, 0.32
21, 0.24
22, 0.37
23, 0.27
24, 0.26
25, 0.45
26, 0.43
27, 0.17
28, 0.23
29, 0.66
30, 0.26
31, 0.32
32, 0.26
33, 0.37
34, 0.50
35, 0.40
36, 0.37
37, 0.32
38, 0.36
39, 0.49
40, 0.36
41, 0.09
42, 0.41
43, 0.46
44, 0.28
45, 0.35
46, 0.26
47, 0.46
48, 0.26
49, 0.21
50, 0.37
51, 0.23
52, 0.48
53, 0.22
54, 0.57
55, 0.20
56, 0.46
57, 0.24
58, 0.30
59, 0.25
60, 0.30
61, 0.44
62, 0.28
63, 0.17
64, 0.22
65, 0.25
66, 0.23
67, 0.23
68, 0.22
69, 0.29
70, 0.62
71, 0.77
72, 0.28
73, 0.23
74, 0.25
75, 0.22
76, 0.23
77, 0.19
78, 0.18
79, 0.38
80, 0.32
81, 0.27
82, 0.28
83, 0.41
84, 0.65
85, 0.35
86, 0.63
87, 0.44
88, 0.24
89, 0.46
90, 0.18
91, 0.32
92, 0.29
93, 0.38
94, 0.18
95, 0.20
96, 0.18
97, 0.21
98, 0.25
99, 0.58
100, 0.42
101, 0.46
102, 0.40
103, 0.28
104, 0.23
105, 0.26
106, 0.23
107, 0.27
108, 0.25
109, 0.37
110, 0.29
111, 0.22
112, 0.35
113, 0.36
114, 0.70
115, 0.15
116, 0.28
117, 0.51
118, 0.41
119, 0.22
120, 0.10
121, 0.37
122, 0.62
123, 0.43
124, 0.24
125, 0.35
126, 0.19
127, 0.46
128, 0.26
129, 0.22
130, 0.44
131, 0.51
132, 0.26
133, 0.19
134, 0.22
135, 0.36
136, 0.20
137, 0.12
138, 0.40
139, 0.17
140, 0.20
141, 0.34
142, 0.60
143, 0.22
144, 0.28
145, 0.32
146, 0.54
147, 0.13
148, 0.33
149, 0.16
150, 0.51
151, 0.21
152, 0.28
153, 0.15
154, 0.56
155, 0.35
156, 0.39
157, 0.37
